prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,true_label,pred_label
0.2397927,0.5759282,0.017128026,0.027533676,0.13961735,0,1
0.0076652276,0.0077575548,0.0033627134,0.0039887764,0.9772257,4,4
0.011349821,0.017918453,0.0019353529,0.002295674,0.96650064,4,4
0.008009225,0.010635204,0.010800221,0.004359275,0.96619606,4,4
0.011915942,0.013908162,0.0144816395,0.005700832,0.9539934,4,4
0.26738635,0.08608556,0.01029886,0.015399669,0.6208296,4,4
0.020451479,0.024990857,0.002370077,0.0028113332,0.9493763,4,4
0.0064680623,0.009676696,0.0031547146,0.003742053,0.97695845,4,4
0.049550027,0.2992906,0.022868639,0.011846027,0.6164447,4,4
0.0055937488,0.04145644,0.002029251,0.002407053,0.9485135,4,4
0.49096057,0.29210424,0.021941382,0.032808486,0.16218536,0,0
0.37170684,0.19126576,0.019003304,0.028415248,0.3896089,4,4
0.47617665,0.27707508,0.021246815,0.02797933,0.19752209,1,0
0.010508007,0.008399638,0.009589135,0.004991884,0.9665113,4,4
0.004251086,0.0040813424,0.0020159842,0.00343634,0.9862153,4,4
0.005779339,0.009330685,0.026961358,0.0040892093,0.95383936,4,4
0.013233079,0.012535682,0.0019124878,0.002268552,0.9700502,4,4
0.004049243,0.0038576217,0.002018977,0.002394866,0.9876793,4,4
0.3234566,0.4963225,0.018897764,0.024885934,0.13643713,0,1
0.011487314,0.013422949,0.0018944048,0.002247102,0.9709482,4,4
0.40637758,0.2452903,0.020253334,0.03696853,0.29111028,0,0
0.015724694,0.02413422,0.0031365177,0.0037204681,0.9532841,4,4
0.24500978,0.35900146,0.02355956,0.05038365,0.32204553,0,1
0.24210869,0.3393912,0.021257875,0.14224492,0.25499734,0,1
0.08730851,0.026383072,0.004278722,0.005634531,0.87639517,4,4
0.10534047,0.07924094,0.005915606,0.010083429,0.7994195,4,4
0.004419707,0.0069167437,0.0030468695,0.0036141293,0.9820026,4,4
0.0050741034,0.0079408595,0.0034979992,0.0041492493,0.9793378,4,4
0.45617697,0.218702,0.019061223,0.025101185,0.28095862,0,0
